Table 1
www.USHarbors.com												
"
"												
"South Padre Island, TX - Dec 2025"												
"
"												
Date		High						Low				
1		AM	ft	PM	ft	AM	ft	PM	ft	Rise	Set	Moon
	Mon			2:02	1.7	5:22	0.2			6:59	5:36	
2	Tue			3:16	2.0	5:57	-0.3			6:59	5:36	
3	Wed			4:23	2.1	6:40	-0.7			7:00	5:36	
4	Thu			5:28	2.2	7:28	-1.0			7:01	5:36	
5	Fri			6:34	2.2	8:19	-1.1			7:01	5:36	
6	Sat			7:38	2.2	9:13	-1.0			7:02	5:37	
7	Sun			8:33	2.1	10:08	-0.9			7:03	5:37	
8	Mon			9:10	1.9	11:02	-0.6			7:03	5:37	
9	Tue			9:27	1.8	11:55	-0.2			7:04	5:37	
10	Wed			9:28	1.6			12:47	0.2	7:05	5:37	
11	Thu			9:22	1.5			1:41	0.6	7:05	5:38	
12	Fri	9:26	1.2	9:07	1.4	4:09	0.9	2:42	0.9	7:06	5:38	
13	Sat			12:22	1.3	4:34	0.6	4:14	1.2	7:07	5:38	
14	Sun			2:08	1.5	5:06	0.3			7:07	5:39	
15	Mon			3:11	1.6	5:39	0.0			7:08	5:39	
16	Tue			4:00	1.7	6:13	-0.2			7:09	5:39	
17	Wed			4:45	1.7	6:47	-0.4			7:09	5:40	
18	Thu			5:29	1.7	7:22	-0.4			7:10	5:40	
19	Fri			6:14	1.7	7:56	-0.5			7:10	5:41	
20	Sat			6:56	1.7	8:31	-0.5			7:11	5:41	
21	Sun			7:33	1.8	9:05	-0.4			7:11	5:42	
22	Mon			8:01	1.8	9:40	-0.4			7:12	5:42	
23	Tue			8:18	1.8	10:16	-0.3			7:12	5:43	
24	Wed			8:25	1.7	10:54	-0.1			7:13	5:43	
25	Thu			8:23	1.5	11:35	0.1			7:13	5:44	
26	Fri			8:11	1.3			12:21	0.4	7:13	5:44	
27	Sat	8:18	0.9	7:49	1.2	3:19	0.7	1:18	0.7	7:14	5:45	
28	Sun	11:49	1.1	7:02	1.1	3:30	0.3	2:58	1.0	7:14	5:46	
29	Mon			1:44	1.4	4:03	-0.2			7:15	5:46	
30	Tue			2:52	1.6	4:46	-0.7			7:15	5:47	
31	Wed			3:52	1.8	5:35	-1.0			7:15	5:48	
